epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8277115821838379,0.09915847331285477,0.5014281272888184,1e-04,0.23453746736049652,0.34715744853019714,0.9044804573059082,0.07733847200870514,0.6578892469406128,0.03975634276866913,0.0038572559133172035
1,0.8989341259002686,0.11898775398731232,0.38852575421333313,1e-04,0.46901360154151917,0.34665876626968384,0.9099708795547485,0.06910253316164017,0.5384134650230408,0.00031046257936395705,8.56533461046638e-06
2,0.9127675294876099,0.13864171504974365,0.34261131286621094,1e-04,0.5740832090377808,0.3796922266483307,0.9116396307945251,0.062286943197250366,0.4262695908546448,0.00033444815198890865,2.855111688404577e-06
3,0.921191930770874,0.1571146696805954,0.3116893470287323,1e-04,0.6409345865249634,0.42301562428474426,0.9109404683113098,0.05974072590470314,0.3583022952079773,0.014705882407724857,0.0002483947027940303
4,0.9292488694190979,0.17598332464694977,0.2885880470275879,1e-04,0.7002994418144226,0.474025160074234,0.9072100520133972,0.07131577283143997,0.33219826221466064,0.2779870927333832,0.036653924733400345
5,0.9364389777183533,0.19627907872200012,0.26818251609802246,1e-04,0.747247040271759,0.5248326659202576,0.9042590856552124,0.090560182929039,0.3194747269153595,0.3760223984718323,0.1369026005268097
6,0.9430525302886963,0.21799294650554657,0.24962694942951202,1e-04,0.7863414883613586,0.5726560950279236,0.9047921895980835,0.11851166188716888,0.31042349338531494,0.43251973390579224,0.2588358521461487
7,0.9457995295524597,0.23324327170848846,0.23715795576572418,1e-04,0.8005218505859375,0.5941185355186462,0.8667577505111694,0.14628925919532776,0.36787357926368713,0.3178260326385498,0.44181710481643677
8,0.9490541219711304,0.2472684234380722,0.2254374921321869,1e-04,0.819165050983429,0.6163831949234009,0.9191882014274597,0.16107986867427826,0.2748745381832123,0.5639273524284363,0.3812030851840973
9,0.9526968598365784,0.26410457491874695,0.21259908378124237,1e-04,0.8373603224754333,0.644212007522583,0.9325201511383057,0.17320092022418976,0.24210931360721588,0.7290112972259521,0.37907031178474426
10,0.9558488130569458,0.2809089124202728,0.20065627992153168,1e-04,0.8532974720001221,0.6676712036132812,0.9384328126907349,0.20434531569480896,0.22898977994918823,0.7355509996414185,0.47974440455436707
11,0.9557849168777466,0.28737491369247437,0.19536128640174866,1e-04,0.8493037223815918,0.6706240773200989,0.9382752180099487,0.19800595939159393,0.22191521525382996,0.7774322032928467,0.4260939955711365
12,0.9584099650382996,0.30065467953681946,0.185738667845726,1e-04,0.86776202917099,0.6840464472770691,0.936248779296875,0.1921161562204361,0.21970760822296143,0.790860116481781,0.381194531917572
13,0.9629283547401428,0.32262367010116577,0.1726379245519638,1e-04,0.8842163681983948,0.7224514484405518,0.9360626935958862,0.17948797345161438,0.21669034659862518,0.8483191132545471,0.3361751139163971
14,0.9666601419448853,0.3423628509044647,0.16139376163482666,1e-04,0.900183916091919,0.7514604926109314,0.9379147291183472,0.2026326060295105,0.21136605739593506,0.7939942479133606,0.4047149419784546
15,0.9690701961517334,0.359528511762619,0.1522577404975891,1e-04,0.9080032110214233,0.7718852162361145,0.9392662644386292,0.2091604471206665,0.20625290274620056,0.8079514503479004,0.41218677163124084
16,0.9708857536315918,0.3745093047618866,0.14453016221523285,1e-04,0.9139096736907959,0.7869367003440857,0.9399546384811401,0.21711179614067078,0.2034730464220047,0.8066059350967407,0.42405831813812256
17,0.9715573191642761,0.3865325152873993,0.1387937217950821,1e-04,0.9133623242378235,0.7957568764686584,0.9328325390815735,0.24478110671043396,0.22231538593769073,0.6408392786979675,0.5634791254997253
18,0.9721009731292725,0.3969201147556305,0.1339900642633438,1e-04,0.9150314927101135,0.8003649115562439,0.922977864742279,0.2634293735027313,0.2477663904428482,0.5608344674110413,0.6465314626693726
19,0.9726619720458984,0.408561646938324,0.12875211238861084,1e-04,0.9144675135612488,0.80812007188797,0.9339677095413208,0.25634467601776123,0.21466988325119019,0.647243082523346,0.5757532715797424
